title,actor1,actor1_fb,actor2,actor2_fb,actor3,actor3_fb
The American President,Shawna Waldron,524.0,Samantha Mathis,517.0,Wendie Malick,452.0
The Love Guru,Justin Timberlake,3000.0,Romany Malco,966.0,Verne Troyer,645.0
3000 Miles to Graceland,Jon Lovitz,11000.0,Bokeem Woodbine,904.0,Ice-T,867.0
The Hateful Eight,Craig Stark,46000.0,Jennifer Jason Leigh,1000.0,Zoë Bell,1000.0
Blades of Glory,Will Ferrell,8000.0,Amy Poehler,1000.0,Jon Heder,970.0
Hop,Gary Cole,989.0,Elizabeth Perkins,664.0,Chelsea Handler,439.0
300,Gerard Butler,18000.0,Michael Fassbender,13000.0,Vincent Regan,447.0
Meet the Fockers,Robert De Niro,22000.0,Blythe Danner,713.0,Teri Polo,708.0
Marley & Me,Eric Dane,2000.0,Kathleen Turner,899.0,Haley Bennett,664.0
The Green Mile,Tom Hanks,15000.0,Jeffrey DeMunn,745.0,Michael Jeter,693.0
Wild Hogs,Jill Hennessy,419.0,Tichina Arnold,330.0,Drew Sidora,311.0
Chicken Little,Catherine O'Hara,925.0,Fred Willard,729.0,Amy Sedaris,397.0
Gone Girl,Patrick Fugit,835.0,Sela Ward,812.0,Emily Ratajkowski,625.0
The Bourne Identity,Matt Damon,13000.0,Josh Hamilton,147.0,Nicky Naudé,73.0
GoldenEye,Izabella Scorupco,394.0,Joe Don Baker,387.0,Tchéky Karyo,345.0
The General's Daughter,Daniel von Bargen,577.0,Timothy Hutton,501.0,Clarence Williams III,475.0
The Truman Show,Natascha McElhone,2000.0,Noah Emmerich,617.0,Peter Krause,576.0
The Prince of Egypt,Martin Short,770.0,Aria Noelle Curzon,263.0,Eden Riegel,145.0
Daddy Day Care,Anjelica Huston,1000.0,Lisa Edelstein,955.0,Jeff Garlin,522.0
2 Guns,Denzel Washington,18000.0,Patrick Fischler,497.0,Fred Ward,459.0
Cats & Dogs,Carol Ann Susi,3000.0,Elizabeth Perkins,664.0,Miriam Margolyes,405.0
The Italian Job,Jason Statham,26000.0,Charlize Theron,9000.0,Jimmy Shubert,82.0
Two Weeks Notice,Dorian Missick,1000.0,Alicia Witt,976.0,Dana Ivey,268.0
Antz,Sylvester Stallone,13000.0,Woody Allen,11000.0,Anne Bancroft,754.0
Couples Retreat,Jon Favreau,4000.0,Kristin Davis,722.0,Tasha Smith,721.0
Days of Thunder,Tom Cruise,10000.0,Robert Duvall,3000.0,Randy Quaid,695.0
Cheaper by the Dozen 2,Taylor Lautner,12000.0,Tom Welling,3000.0,Alyson Stoner,2000.0
The Scorch Trials,Ki Hong Lee,988.0,Lili Taylor,960.0,Rosa Salazar,240.0
Eat Pray Love,James Franco,11000.0,Julia Roberts,8000.0,Billy Crudup,745.0
The Family Man,Nicolas Cage,12000.0,Don Cheadle,3000.0,Amber Valletta,627.0
RED,Bruce Willis,13000.0,Morgan Freeman,11000.0,Jaqueline Fleming,357.0
Any Given Sunday,Al Pacino,14000.0,Dennis Quaid,2000.0,LL Cool J,1000.0
The Horse Whisperer,Scarlett Johansson,19000.0,Kristin Scott Thomas,1000.0,Jessalyn Gilsig,380.0
Collateral,Tom Cruise,10000.0,Jada Pinkett Smith,851.0,Debi Mazar,680.0
The Scorpion King,Dwayne Johnson,12000.0,Roger Rees,1000.0,Bernard Hill,416.0
Ladder 49,Billy Burke,2000.0,Jay Hernandez,1000.0,Jacinda Barrett,579.0
Jack Reacher,Tom Cruise,10000.0,Robert Duvall,3000.0,David Oyelowo,1000.0
Deep Blue Sea,LL Cool J,1000.0,Michael Rapaport,975.0,Saffron Burrows,811.0
This Is It,Misha Gabriel Hamilton,433.0,Mekia Cox,208.0,Judith Hill,6.0
Contagion,Matt Damon,13000.0,Monique Gabriela Curnen,240.0,Griffin Kane,175.0
Kangaroo Jack,Estella Warren,658.0,Dyan Cannon,257.0,Bill Hunter,226.0
Coraline,Jennifer Saunders,309.0,Dawn French,229.0,John Hodgman,57.0
The Happening,Zooey Deschanel,11000.0,Alan Ruck,946.0,Kristen Connolly,751.0
Man on Fire,Denzel Washington,18000.0,Radha Mitchell,992.0,Giancarlo Giannini,451.0
The Shaggy Dog,Robert Downey Jr.,21000.0,Joel David Moore,936.0,Kristin Davis,722.0
Starsky & Hutch,Snoop Dogg,881.0,Carmen Electra,869.0,Fred Williamson,767.0
Jingle All the Way,Jim Belushi,854.0,Harvey Korman,628.0,Jake Lloyd,626.0
Hellboy,James Babson,366.0,Rupert Evans,334.0,Brian Steele,160.0
A Civil Action,Robert Duvall,3000.0,Kathleen Quinlan,552.0,Sydney Pollack,521.0
ParaNorman,Anna Kendrick,10000.0,Kodi Smit-McPhee,884.0,Elaine Stritch,586.0
The Jackal,J.K. Simmons,24000.0,Bruce Willis,13000.0,Sophie Okonedo,460.0
Paycheck,Ivana Milicevic,834.0,Joe Morton,780.0,Callum Rennie,716.0
Up Close & Personal,Joe Mantegna,1000.0,Stockard Channing,944.0,Raymond Cruz,672.0
The Tale of Despereaux,Emma Watson,9000.0,Matthew Broderick,2000.0,Frank Langella,903.0
Rules of Engagement,Bianca Kajlich,732.0,Oliver Hudson,607.0,Adhir Kalyan,402.0
The Tuxedo,Romany Malco,966.0,Debi Mazar,680.0,Ritchie Coster,107.0
Under Siege 2: Dark Territory,Peter Greene,789.0,Brenda Bakke,520.0,Patrick Kilpatrick,488.0
Jack Ryan: Shadow Recruit,Colm Feore,539.0,Nonso Anozie,394.0,Gemma Chan,288.0
Joy,Jennifer Lawrence,34000.0,Robert De Niro,22000.0,Bradley Cooper,14000.0
London Has Fallen,Gerard Butler,18000.0,Radha Mitchell,992.0,Julian Kostov,864.0
Alien: Resurrection,Gary Dourdan,1000.0,Michael Wincott,720.0,Raymond Cruz,672.0
Shooter,Tate Donovan,650.0,Ned Beatty,467.0,Louis Ferreira,295.0
The Boxtrolls,Isaac Hempstead Wright,874.0,Dee Bradley Baker,668.0,Tracy Morgan,642.0
Practical Magic,Goran Visnjic,1000.0,Dianne Wiest,967.0,Stockard Channing,944.0
The Lego Movie,Morgan Freeman,11000.0,Will Ferrell,8000.0,Alison Brie,2000.0
Miss Congeniality 2: Armed and Fabulous,Eileen Brennan,1000.0,Diedrich Bader,759.0,Treat Williams,642.0
Reign of Fire,Christian Bale,23000.0,Gerard Butler,18000.0,Matthew McConaughey,11000.0
Gangster Squad,Ryan Gosling,33000.0,Brandon Molale,301.0,Wade Williams,300.0
Year One,Olivia Wilde,10000.0,Oliver Platt,1000.0,Xander Berkeley,485.0
Invictus,Matt Damon,13000.0,Morgan Freeman,11000.0,Leleti Khumalo,204.0
State of Play,Robin Wright,18000.0,Harry Lennix,748.0,Michael Weston,379.0
Duplicity,Julia Roberts,8000.0,Tom Wilkinson,1000.0,Denis O'Hare,896.0
My Favorite Martian,Steven Anthony Lawrence,1000.0,Ray Walston,417.0,Michael Lerner,230.0
The Sentinel,Blair Brown,310.0,David Rasche,219.0,Martin Donovan,206.0
Planet 51,Dwayne Johnson,12000.0,Gary Oldman,10000.0,James Corden,480.0
Star Trek: Nemesis,Tom Hardy,27000.0,LeVar Burton,1000.0,Jonathan Frakes,906.0
Intolerable Cruelty,Cedric the Entertainer,436.0,Paul Adelstein,399.0,Julia Duffy,210.0
Trouble with the Curve,Clint Eastwood,16000.0,Ed Lauter,897.0,Bob Gunton,461.0
Edge of Darkness,Bojana Novakovic,2000.0,Ray Winstone,1000.0,Denis O'Hare,896.0
The Relic,John Kapelos,510.0,Penelope Ann Miller,344.0,Chi Muoi Lo,308.0
Analyze That,Robert De Niro,22000.0,Cathy Moriarty,394.0,Joe Viterelli,236.0
Righteous Kill,Robert De Niro,22000.0,Al Pacino,14000.0,50 Cent,1000.0
Mercury Rising,Bruce Willis,13000.0,Miko Hughes,968.0,Carrie Preston,652.0
The Soloist,Robert Downey Jr.,21000.0,Stephen Root,939.0,Rachael Harris,569.0
The Legend of Bagger Vance,Matt Damon,13000.0,Will Smith,10000.0,Charlize Theron,9000.0
Almost Famous,Philip Seymour Hoffman,22000.0,Zooey Deschanel,11000.0,Michael Angarano,947.0
Garfield 2,Bill Murray,13000.0,Roger Rees,1000.0,Ben Falcone,265.0
xXx: State of the Union,Sunny Mabrey,287.0,Nona Gaye,233.0,Xzibit,218.0
Priest,Josh Wingate,865.0,Alan Dale,441.0,Jacob Hopkins,77.0
Sinbad: Legend of the Seven Seas,Brad Pitt,11000.0,Adriano Giannini,102.0,Timothy West,82.0
Event Horizon,Sean Pertwee,722.0,Joely Richardson,585.0,Kathleen Quinlan,552.0
Dragonfly,Joe Morton,780.0,Susanna Thompson,265.0,Matt Craven,256.0
The Black Dahlia,Scarlett Johansson,19000.0,Mia Kirshner,972.0,Mike Starr,854.0
Flyboys,James Franco,11000.0,Tyler Labine,779.0,Philip Winchester,579.0
The Last Castle,Clifton Collins Jr.,968.0,Delroy Lindo,848.0,Michael Irby,507.0
Supernova,Robert Forster,889.0,Wilson Cruz,290.0,Vanessa Marshall,68.0
Winter's Tale,Matt Bomer,20000.0,William Hurt,882.0,Kevin Corrigan,778.0
The Mortal Instruments: City of Bones,Aidan Turner,5000.0,Kevin Zegers,2000.0,CCH Pounder,1000.0
Meet Dave,Marc Blucas,973.0,Mike O'Malley,400.0,Shawn Christian,196.0
Dark Water,Dougray Scott,794.0,Camryn Manheim,329.0,Ariel Gade,87.0
Edtv,Matthew McConaughey,11000.0,Adam Goldberg,1000.0,Clint Howard,1000.0
Inkheart,Brendan Fraser,3000.0,Stephen Graham,1000.0,Jamie Foreman,466.0
The Spirit,Scarlett Johansson,19000.0,Jaime King,961.0,Louis Lombardi,437.0
Mortdecai,Johnny Depp,40000.0,Olivia Munn,2000.0,Ulrich Thomsen,280.0
In the Name of the King: A Dungeon Siege Tale,Jason Statham,26000.0,Mike Dopud,368.0,Tania Saulnier,102.0
Beyond Borders,Angelina Jolie Pitt,11000.0,Teri Polo,708.0,Noah Emmerich,617.0
Xi you ji zhi: Sun Wukong san da Baigu Jing,Li Gong,879.0,Aaron Kwok,107.0,Eddie Peng,22.0
The Great Raid,James Franco,11000.0,Clayne Crawford,298.0,Paolo Montalban,242.0
Deadpool,Ryan Reynolds,16000.0,Ed Skrein,805.0,Stefan Kapicic,361.0
Holy Man,Kelly Preston,743.0,Morgan Fairchild,730.0,Eric McCormack,440.0
American Sniper,Bradley Cooper,14000.0,Leonard Roberts,962.0,Keir O'Donnell,318.0
Goosebumps,Odeya Rush,2000.0,Dylan Minnette,1000.0,Ken Marino,543.0
"Sabrina, the Teenage Witch",Nate Richert,870.0,Soleil Moon Frye,558.0,Caroline Rhea,271.0
Just Like Heaven,Jon Heder,970.0,Ivana Milicevic,834.0,Willie Garson,512.0
The Flintstones in Viva Rock Vegas,Taylor Negron,1000.0,Mark Addy,891.0,Danny Woodburn,809.0
Rambo III,Sylvester Stallone,13000.0,Kurtwood Smith,1000.0,Richard Crenna,349.0
Leatherheads,Robert Baker,142.0,Malcolm Goodwin,117.0,Matt Bushell,110.0
The Ridiculous 6,Taylor Lautner,12000.0,Adam Sandler,11000.0,Jon Lovitz,11000.0
Did You Hear About the Morgans?,Michael Kelly,963.0,Kim Shaw,935.0,Kevin Brown,727.0
The Internship,Josh Gad,1000.0,Jessica Szohr,847.0,Rob Riggle,839.0
Resident Evil: Afterlife,Milla Jovovich,14000.0,Boris Kodjoe,1000.0,Shawn Roberts,529.0
Red Tails,David Oyelowo,1000.0,Nate Parker,664.0,Tristan Mack Wilds,519.0
Sex and the City,Chris Noth,962.0,Kristin Davis,722.0,Cynthia Nixon,479.0
The Devil's Advocate,Keanu Reeves,18000.0,Al Pacino,14000.0,Charlize Theron,9000.0
That's My Boy,Adam Sandler,11000.0,Leighton Meester,3000.0,Will Forte,622.0
DragonHeart,Dennis Quaid,2000.0,Brian Thompson,663.0,Terry O'Neill,40.0
After the Sunset,Salma Hayek,4000.0,Don Cheadle,3000.0,Chris Penn,455.0
Ghost Rider: Spirit of Vengeance,Nicolas Cage,12000.0,Spencer Wilding,1000.0,Christopher Lambert,1000.0
Captain Corelli's Mandolin,Christian Bale,23000.0,Irene Papas,243.0,Mihalis Giannatos,58.0
Anger Management,Barry Corbin,883.0,Noureen DeWulf,701.0,Brian Austin Green,676.0
The Pacifier,Vin Diesel,14000.0,Brad Garrett,799.0,Tate Donovan,650.0
Walking Tall,Dwayne Johnson,12000.0,Ashley Scott,795.0,Michael Bowen,348.0
Forrest Gump,Tom Hanks,15000.0,Siobhan Fallon Hogan,294.0,Sam Anderson,194.0
Alvin and the Chipmunks,Jesse McCartney,1000.0,Beth Riesgraf,718.0,Matthew Gray Gubler,639.0
Meet the Parents,Robert De Niro,22000.0,Blythe Danner,713.0,Teri Polo,708.0
Pocahontas,Christian Bale,23000.0,Frank Welker,2000.0,Irene Bedard,752.0
Superman,Marlon Brando,10000.0,Margot Kidder,593.0,Ned Beatty,467.0
The Nutty Professor,Jada Pinkett Smith,851.0,James Coburn,773.0,Dave Chappelle,744.0
Hitch,Will Smith,10000.0,Michael Rapaport,975.0,Kevin Sussman,681.0
George of the Jungle,Brendan Fraser,3000.0,Abraham Benrubi,562.0,Holland Taylor,458.0
American Wedding,Alyson Hannigan,3000.0,Thomas Ian Nicholas,864.0,Fred Willard,729.0
Captain Phillips,Tom Hanks,15000.0,Chris Mulkey,535.0,Michael Chernus,186.0
Date Night,Mila Kunis,15000.0,James Franco,11000.0,Steve Carell,7000.0
Casper,Eric Idle,795.0,Fred Rogers,419.0,Cathy Moriarty,394.0
The Equalizer,Denzel Washington,18000.0,Chloë Grace Moretz,17000.0,James Wilcox,683.0
Maid in Manhattan,Bob Hoskins,5000.0,Frances Conroy,827.0,Natasha Richardson,708.0
Crimson Tide,Denzel Washington,18000.0,Viggo Mortensen,10000.0,Ricky Schroder,665.0
The Pursuit of Happyness,Will Smith,10000.0,Kurt Fuller,617.0,James Karen,168.0
Flightplan,Erika Christensen,931.0,Michael Irby,507.0,Haley Ramm,354.0
Disclosure,Demi Moore,2000.0,Dylan Baker,812.0,Roma Maffia,383.0
City of Angels,Nicolas Cage,12000.0,Andre Braugher,702.0,Colm Feore,539.0
Kill Bill: Vol. 1,David Carradine,926.0,Vivica A. Fox,890.0,Chiaki Kuriyama,640.0
Bowfinger,Robert Downey Jr.,21000.0,Adam Alexi-Malle,860.0,Jamie Kennedy,490.0
Stargate SG-1,Christopher Judge,847.0,Don S. Davis,440.0,Gary Jones,72.0
Kill Bill: Vol. 2,Vivica A. Fox,890.0,Michael Parks,387.0,Michael Bowen,348.0
Tango & Cash,Sylvester Stallone,13000.0,Jack Palance,549.0,Brion James,403.0
Death Becomes Her,Bruce Willis,13000.0,Meryl Streep,11000.0,Isabella Rossellini,812.0
Shanghai Noon,Xander Berkeley,485.0,Jason Connery,110.0,Kate Luyben,95.0
Executive Decision,Oliver Platt,1000.0,Joe Morton,780.0,J.T. Walsh,263.0
Mr. Popper's Penguins,Madeline Carroll,1000.0,Ophelia Lovibond,549.0,Philip Baker Hall,497.0
The Forbidden Kingdom,Jet Li,5000.0,Thomas McDonell,962.0,Michael Angarano,947.0
Free Birds,Amy Poehler,1000.0,Carlos Ponce,591.0,Dan Fogler,562.0
Alien 3,Charles S. Dutton,534.0,Holt McCallany,273.0,Paul McGann,243.0
Evita,Andrea Corr,57.0,Jimmy Nail,40.0,Peter Polycarpou,34.0
Ronin,Robert De Niro,22000.0,Natascha McElhone,2000.0,Michael Lonsdale,135.0
The Ghost and the Darkness,Tom Wilkinson,1000.0,Bernard Hill,416.0,Om Puri,163.0
Paddington,Julie Walters,838.0,Matt Lucas,722.0,Sally Hawkins,594.0
The Watch,Will Forte,622.0,Nicholas Braun,591.0,Rosemarie DeWitt,537.0
The Hunted,Connie Nielsen,933.0,Jenna Boyd,518.0,Rex Linn,215.0
Instinct,Anthony Hopkins,12000.0,Maura Tierney,509.0,John Ashton,241.0
Stuck on You,Matt Damon,13000.0,Terence Bernie Hines,390.0,Seymour Cassel,327.0
Semi-Pro,Will Ferrell,8000.0,Maura Tierney,509.0,Matt Walsh,490.0
The Pirates! Band of Misfits,Salma Hayek,4000.0,Russell Tovey,796.0,Brian Blessed,591.0
Changeling,Angelina Jolie Pitt,11000.0,Michael Kelly,963.0,Colm Feore,539.0
Chain Reaction,Keanu Reeves,18000.0,Morgan Freeman,11000.0,Kevin Dunn,581.0
The Fan,Robert De Niro,22000.0,Kurt Fuller,617.0,Ellen Barkin,552.0
The Phantom of the Opera,Gerard Butler,18000.0,Minnie Driver,893.0,Miranda Richardson,530.0
Elizabeth: The Golden Age,Eddie Redmayne,13000.0,Abbie Cornish,2000.0,Jordi Mollà,877.0
Æon Flux,Charlize Theron,9000.0,Sophie Okonedo,460.0,Paterson Joseph,352.0
Gods and Generals,Billy Campbell,789.0,Bruce Boxleitner,640.0,John Castle,67.0
Turbulence,Hector Elizondo,995.0,Lauren Holly,879.0,Jeffrey DeMunn,745.0
Imagine That,Stephen Root,939.0,Ronny Cox,605.0,Richard Schiff,506.0
Muppets Most Wanted,Ty Burrell,3000.0,Tina Fey,2000.0,Hugh Bonneville,518.0
Thunderbirds,Sophia Myles,956.0,Philip Winchester,579.0,Brady Corbet,287.0
Burlesque,Eric Dane,2000.0,Peter Gallagher,828.0,David Walton,676.0
A Very Long Engagement,Denis Lavant,226.0,André Dussollier,52.0,Albert Dupontel,46.0
Lolita,James Mason,617.0,Shelley Winters,367.0,Lois Maxwell,177.0
Eye See You,Sylvester Stallone,13000.0,Tom Berenger,854.0,Charles S. Dutton,534.0
Blade II,Norman Reedus,12000.0,Thomas Kretschmann,919.0,Tony Curran,845.0
Seven Pounds,Will Smith,10000.0,Rosario Dawson,3000.0,Madison Pettis,835.0
Bullet to the Head,Sylvester Stallone,13000.0,Jason Momoa,11000.0,Jon Seda,565.0
The Godfather: Part III,Al Pacino,14000.0,Joe Mantegna,1000.0,Bridget Fonda,889.0
Elizabethtown,Orlando Bloom,5000.0,Kirsten Dunst,4000.0,Judy Greer,2000.0
"You, Me and Dupree",Todd Stashwick,277.0,Billy Gardell,245.0,Amanda Detmer,240.0
Superman II,Margot Kidder,593.0,Ned Beatty,467.0,Jackie Cooper,420.0
Gigli,Todd Giebenhain,117.0,Lenny Venito,62.0,David Backus,43.0
All the King's Men,Kate Winslet,14000.0,Anthony Hopkins,12000.0,Kevin Dunn,581.0
Shaft,Christian Bale,23000.0,Vanessa Williams,1000.0,Daniel von Bargen,577.0
Anastasia,Kirsten Dunst,4000.0,Kelsey Grammer,808.0,Bernadette Peters,753.0
Moulin Rouge!,Jim Broadbent,1000.0,Kylie Minogue,691.0,Richard Roxburgh,653.0
Domestic Disturbance,Steve Buscemi,12000.0,Teri Polo,708.0,Matt O'Leary,303.0
Black Mass,Johnny Depp,40000.0,Benedict Cumberbatch,19000.0,Adam Scott,3000.0
Flags of Our Fathers,Paul Walker,23000.0,Chris Bauer,638.0,Tom McCarthy,310.0
Law Abiding Citizen,Gerard Butler,18000.0,Leslie Bibb,1000.0,Michael Kelly,963.0
Grindhouse,Quentin Tarantino,16000.0,Rosario Dawson,3000.0,Zoë Bell,1000.0
Beloved,Oprah Winfrey,852.0,Kimberly Elise,637.0,Hill Harper,466.0
Lucky You,Robert Downey Jr.,21000.0,Robert Duvall,3000.0,Kelvin Han Yee,681.0
Catch Me If You Can,Leonardo DiCaprio,29000.0,Tom Hanks,15000.0,Jennifer Garner,3000.0
Zero Dark Thirty,Jennifer Ehle,1000.0,Harold Perrineau,1000.0,Parker Sawyers,304.0
The Break-Up,Jon Favreau,4000.0,John Michael Higgins,957.0,Ann-Margret,931.0
Mamma Mia!,Colin Firth,14000.0,Meryl Streep,11000.0,Julie Walters,838.0
Valentine's Day,Bradley Cooper,14000.0,Taylor Lautner,12000.0,Anne Hathaway,11000.0
The Dukes of Hazzard,Alice Greczyn,631.0,Jessica Simpson,534.0,Michael Weston,379.0
The Thin Red Line,Nick Stahl,648.0,Miranda Otto,568.0,Dash Mihok,463.0
The Change-Up,Ryan Reynolds,16000.0,Olivia Wilde,10000.0,Mircea Monroe,634.0
Man on the Moon,Matt Price,134.0,Gerry Becker,27.0,Tom Dreesen,21.0
Casino,Robert De Niro,22000.0,Don Rickles,721.0,Kevin Pollak,574.0
From Paris with Love,Kasia Smutniak,211.0,Amber Rose Revah,135.0,Rebecca Dayan,75.0
Bulletproof Monk,Jaime King,961.0,Mako,691.0,Victoria Smurfit,343.0
"Me, Myself & Irene",Robert Forster,889.0,Tony Cox,624.0,Rob Moran,79.0
Barnyard,Rob Paulsen,677.0,Wanda Sykes,560.0,Maurice LaMarche,523.0
Deck the Halls,Matthew Broderick,2000.0,Jorge Garcia,1000.0,Alia Shawkat,728.0
The Twilight Saga: New Moon,Robert Pattinson,21000.0,Kristen Stewart,17000.0,Taylor Lautner,12000.0
Shrek,Kathleen Freeman,145.0,Chris Miller,50.0,Bobby Block,21.0
The Adjustment Bureau,Matt Damon,13000.0,Michael Kelly,963.0,Jon Stewart,593.0
Robin Hood: Prince of Thieves,Alan Rickman,25000.0,Morgan Freeman,11000.0,Michael Wincott,720.0
Jerry Maguire,Tom Cruise,10000.0,Kelly Preston,743.0,Bonnie Hunt,597.0
Ted,Mila Kunis,15000.0,Seth MacFarlane,3000.0,Tom Skerritt,1000.0
As Good as It Gets,Lupe Ontiveros,625.0,Yeardley Smith,440.0,Shirley Knight,285.0
Patch Adams,Robin Williams,49000.0,Philip Seymour Hoffman,22000.0,Monica Potter,878.0
Anchorman 2: The Legend Continues,Harrison Ford,11000.0,Will Ferrell,8000.0,Steve Carell,7000.0
Mr. Deeds,Steve Buscemi,12000.0,Adam Sandler,11000.0,Peter Gallagher,828.0
Super 8,Joel Courtney,1000.0,AJ Michalka,560.0,Zach Mills,417.0
Erin Brockovich,Julia Roberts,8000.0,Albert Finney,883.0,Conchata Ferrell,658.0
How to Lose a Guy in 10 Days,Matthew McConaughey,11000.0,Adam Goldberg,1000.0,Thomas Lennon,651.0
22 Jump Street,Channing Tatum,17000.0,Craig Roberts,920.0,Amber Stevens West,584.0
Interview with the Vampire: The Vampire Chronicles,Brad Pitt,11000.0,Tom Cruise,10000.0,Kirsten Dunst,4000.0
Yes Man,Bradley Cooper,14000.0,Zooey Deschanel,11000.0,Danny Masterson,1000.0
Central Intelligence,Dwayne Johnson,12000.0,Thomas Kretschmann,919.0,Megan Park,569.0
Stepmom,Julia Roberts,8000.0,Liam Aiken,818.0,Herbert Russell,701.0
Daddy's Home,Will Ferrell,8000.0,Linda Cardellini,2000.0,Mark L. Young,322.0
Into the Woods,Johnny Depp,40000.0,Meryl Streep,11000.0,Anna Kendrick,10000.0
Inside Man,Denzel Washington,18000.0,James Ransone,412.0,Peter Gerety,277.0
Payback,Bill Duke,1000.0,Deborah Kara Unger,495.0,William Devane,416.0
Congo,Dylan Walsh,426.0,Joe Don Baker,387.0,Grant Heslov,293.0
We Bought a Zoo,Scarlett Johansson,19000.0,Matt Damon,13000.0,Stephanie Szostak,1000.0
Knowing,Nicolas Cage,12000.0,Ben Mendelsohn,748.0,Chandler Canterbury,329.0
Failure to Launch,Bradley Cooper,14000.0,Matthew McConaughey,11000.0,Zooey Deschanel,11000.0
The Ring Two,Naomi Watts,6000.0,Gary Cole,989.0,Sissy Spacek,874.0
"Crazy, Stupid, Love.",Ryan Gosling,33000.0,Emma Stone,15000.0,Steve Carell,7000.0
Garfield,Bill Murray,13000.0,Mark Christopher Lawrence,258.0,Michael Monks,58.0
Christmas with the Kranks,Jamie Lee Curtis,2000.0,Cheech Marin,843.0,Jake Busey,660.0
Moneyball,Philip Seymour Hoffman,22000.0,Robin Wright,18000.0,Brad Pitt,11000.0
Outbreak,Kevin Spacey,18000.0,Morgan Freeman,11000.0,Rene Russo,808.0
Non-Stop,Liam Neeson,14000.0,Nate Parker,664.0,Scoot McNairy,660.0
Race to Witch Mountain,Dwayne Johnson,12000.0,Billy Brown,536.0,Tom Everett Scott,433.0
V for Vendetta,Natalie Portman,20000.0,Eddie Marsan,979.0,Rupert Graves,443.0
Shanghai Knights,Fann Wong,154.0,Anna-Louise Plowman,131.0,Georgina Chapman,55.0
Unforgotten,Bernard Hill,416.0,Gemma Jones,171.0,Nicola Walker,132.0
Curious George,Will Ferrell,8000.0,Frank Welker,2000.0,Alexander Gould,1000.0
Herbie Fully Loaded,Scoot McNairy,660.0,Thomas Lennon,651.0,Cheryl Hines,541.0
Don't Say a Word,Oliver Platt,1000.0,Jennifer Esposito,912.0,Conrad Goode,477.0
Hansel & Gretel: Witch Hunters,Jeremy Renner,10000.0,Derek Mears,520.0,Ingrid Bolsø Berdal,467.0
Unfaithful,Olivier Martinez,838.0,Erik Per Sullivan,593.0,Chad Lowe,372.0
I Am Number Four,Alex Pettyfer,15000.0,Emily Wickersham,348.0,Reuben Langdon,144.0
Syriana,Matt Damon,13000.0,Amr Waked,903.0,Kayvan Novak,414.0
13 Hours,Toby Stephens,769.0,James Badge Dale,726.0,David Costabile,681.0
The Book of Life,Channing Tatum,17000.0,Hector Elizondo,995.0,Ana de la Reguera,679.0
Firewall,Jimmy Bennett,87000.0,Harrison Ford,11000.0,Mary Lynn Rajskub,935.0
Absolute Power,Clint Eastwood,16000.0,Mark Margolis,1000.0,Scott Glenn,826.0
G.I. Jane,Viggo Mortensen,10000.0,Demi Moore,2000.0,John Michael Higgins,957.0
The Game,Deborah Kara Unger,495.0,Armin Mueller-Stahl,294.0,Charles Martinet,283.0
Silent Hill,Radha Mitchell,992.0,Deborah Kara Unger,495.0,Alice Krige,368.0
The Replacements,Keanu Reeves,18000.0,Jon Favreau,4000.0,Faizon Love,585.0
American Reunion,Alyson Hannigan,3000.0,Dania Ramirez,1000.0,Natasha Lyonne,1000.0
The Negotiator,Kevin Spacey,18000.0,Michael Cudlitz,822.0,Siobhan Fallon Hogan,294.0
Into the Storm,Matt Walsh,490.0,Alycia Debnam-Carey,298.0,Scott Lawrence,159.0
Beverly Hills Cop III,Louis Lombardi,437.0,Jon Tenney,289.0,Gilbert R. Hill,174.0
Gremlins 2: The New Batch,Christopher Lee,16000.0,Robert Picardo,823.0,Phoebe Cates,767.0
The Judge,Robert Downey Jr.,21000.0,Robert Duvall,3000.0,Leighton Meester,3000.0
The Peacemaker,Armin Mueller-Stahl,294.0,Holt McCallany,273.0,Marcel Iures,258.0
Resident Evil: Apocalypse,Milla Jovovich,14000.0,Thomas Kretschmann,919.0,Mike Epps,706.0
Bridget Jones: The Edge of Reason,Colin Firth,14000.0,Jim Broadbent,1000.0,Celia Imrie,186.0
Out of Time,Denzel Washington,18000.0,Sanaa Lathan,886.0,John Billingsley,323.0
On Deadly Ground,Mike Starr,854.0,Joan Chen,643.0,Sven-Ole Thorsen,158.0
The Adventures of Sharkboy and Lavagirl 3-D,Taylor Lautner,12000.0,Kristin Davis,722.0,Taylor Dooley,717.0
The Beach,Leonardo DiCaprio,29000.0,Virginie Ledoyen,414.0,Peter Youngblood Hills,39.0
Raising Helen,Amber Valletta,627.0,Felicity Huffman,508.0,Spencer Breslin,434.0
Ninja Assassin,Shô Kosugi,330.0,Ben Miles,119.0,Rain,72.0
For Love of the Game,J.K. Simmons,24000.0,Kelly Preston,743.0,Carmine Giovinazzo,432.0
A Touch of Frost,David Jason,325.0,Bruce Alexander,7.0,John Lyons,5.0
Striptease,Demi Moore,2000.0,Rumer Willis,472.0,Paul Guilfoyle,210.0
Marmaduke,Emma Stone,15000.0,Judy Greer,2000.0,Steve Coogan,1000.0
Hereafter,Matt Damon,13000.0,Jay Mohr,563.0,Cécile De France,447.0
Murder by Numbers,Ryan Gosling,33000.0,Chris Penn,455.0,Agnes Bruckner,401.0
Assassins,Muse Watson,45000.0,Sylvester Stallone,13000.0,Kelly Rowan,282.0
